interval	topWord	count
1948-1953	blues	8
1948-1953	country	6
1948-1953	jazz	6
1948-1953	swing	5
1948-1953	rock	5
1948-1953	music	4
1948-1953	pop	4
1948-1953	vocal	3
1948-1953	oldies	3
1948-1953	vocalist	3
1948-1953	cowboy	2
1948-1953	folk	2
1948-1953	listening	2
1948-1953	ballad	2
1948-1953	soul	2
1954-1959	rock	16
1954-1959	jazz	13
1954-1959	blues	9
1954-1959	pop	5
1954-1959	country	5
1954-1959	soul	4
1954-1959	blues-rock	3
1954-1959	rockabilly	3
1954-1959	music	2
1954-1959	piano	2
1954-1959	vocal	2
1954-1959	classical	2
1954-1959	guitar	2
1954-1959	classic	2
1960-1965	rock	23
1960-1965	jazz	13
1960-1965	soul	8
1960-1965	blues	6
1960-1965	music	5
1960-1965	oldies	3
1960-1965	country	3
1960-1965	folk	3
1960-1965	doo-wop	3
1960-1965	states	3
1960-1965	vocalist	2
1960-1965	motown	2
1960-1965	singer-songwriter	2
1960-1965	bluegrass	2
1960-1965	ballad	2
1960-1965	funk	2
1960-1965	pop	2
1960-1965	listening	2
1960-1965	punk	2
1960-1965	piano	2
1966-1971	rock	29
1966-1971	blues	13
1966-1971	soul	10
1966-1971	jazz	6
1966-1971	pop	5
1966-1971	ballad	5
1966-1971	singer-songwriter	3
1966-1971	motown	2
1966-1971	doo-wop	2
1966-1971	blues-rock	2
1966-1971	r&b	2
1966-1971	disco	2
1966-1971	funk	2
1966-1971	listening	2
1972-1977	rock	42
1972-1977	blues	7
1972-1977	soul	6
1972-1977	house	5
1972-1977	jazz	4
1972-1977	pop	4
1972-1977	punk	4
1972-1977	r&b	3
1972-1977	disco	3
1972-1977	trance	3
1972-1977	music	2
1972-1977	blues-rock	2
1972-1977	funk	2
1972-1977	oldies	2
1972-1977	soundtrack	2
1972-1977	metal	2
1972-1977	reggae	2
1972-1977	wave	2
1978-1983	rock	26
1978-1983	metal	10
1978-1983	punk	9
1978-1983	house	7
1978-1983	pop	5
1978-1983	techno	4
1978-1983	jazz	3
1978-1983	wave	3
1978-1983	hop	2
1978-1983	alternative	2
1978-1983	80s	2
1978-1983	funk	2
1978-1983	blues	2
1978-1983	ska	2
1978-1983	states	2
1978-1983	breakbeat	2
1978-1983	electro	2
1978-1983	downtempo	2
1978-1983	electronic	2
1978-1983	dub	2
1984-1989	rock	44
1984-1989	pop	15
1984-1989	jazz	12
1984-1989	disco	5
1984-1989	funk	4
1984-1989	hop	4
1984-1989	trance	3
1984-1989	house	3
1984-1989	beat	3
1984-1989	downtempo	3
1984-1989	blues-rock	3
1984-1989	ballad	3
1984-1989	country	2
1984-1989	electro	2
1984-1989	electronic	2
1984-1989	ambient	2
1984-1989	chill-out	2
1984-1989	vocal	2
1984-1989	soul	2
1984-1989	wave	2
1984-1989	vocalist	2
1990-1995	rock	21
1990-1995	jazz	7
1990-1995	pop	5
1990-1995	hop	5
1990-1995	rap	4
1990-1995	house	2
1990-1995	dance	2
1990-1995	coast	2
1990-1995	flamenco	2
1990-1995	folk	2
1990-1995	guitar	2
1990-1995	disco	2
1990-1995	ballad	2
1990-1995	blues-rock	2
1990-1995	funk	2
1990-1995	chanson	2
1990-1995	soul	2
1990-1995	piano	2
1996-2001	rock	25
1996-2001	pop	11
1996-2001	jazz	9
1996-2001	rap	5
1996-2001	house	3
1996-2001	music	3
1996-2001	hop	3
1996-2001	country	2
1996-2001	acoustic	2
1996-2001	electronic	2
1996-2001	funk	2
2002-2007	rock	23
2002-2007	metal	19
2002-2007	trance	6
2002-2007	house	4
2002-2007	pop	4
2002-2007	punk	3
2002-2007	jazz	3
2002-2007	comedy	3
2002-2007	electronic	3
2002-2007	ambient	2
2002-2007	hardcore	2
2002-2007	dance	2
2002-2007	ska	2
2002-2007	electro	2
2002-2007	music	2
2002-2007	reggae	2
2002-2007	electronica	2
2008-2013	rock	16
2008-2013	jazz	6
2008-2013	pop	3
2008-2013	punk	2
2008-2013	metal	2
2008-2013	fusion	2
2008-2013	funk	2
